Season;Gameweek;Home team;Away team;Possession PSV (%);Chances PSV;Crosses PSV;Set piece goals PSV;Shots PSV (incl. blocks);Shots PSV (excl. blocks);Goals PSV;Conversion PSV (w/shots);Conversion PSV (w/chances)
2016/2017;9;PSV;Heracles;59;24;37;1;28;24;1;4,166666667;4,166666667
2016/2017;10;PSV;Sparta;61;23;33;0;26;25;1;4;4,347826087
2016/2017;11;Vitesse;PSV;44;8;12;0;11;6;2;33,33333333;25
2016/2017;12;PSV;Twente;57;16;32;0;20;17;1;5,882352941;6,25
2016/2017;13;Willem II;PSV;61;10;41;0;14;11;0;0;0
2016/2017;14;PSV;Den Haag;67;10;21;1;12;10;3;30;30
2016/2017;15;Roda JC;PSV;65;11;22;0;16;12;0;0;0
2016/2017;16;PSV;Go Ahead;59;18;33;0;23;18;1;5,555555556;5,555555556
2016/2017;17;Ajax;PSV;45;10;15;0;11;10;1;10;10
2016/2017;18;PSV;Excelsior;57;19;31;0;26;18;2;11,11111111;10,52631579
2016/2017;19;PSV;Heerenveen;51;19;34;2;23;20;4;20;21,05263158
2016/2017;20;Heracles;PSV;50;18;17;0;22;20;2;10;11,11111111
2016/2017;21;AZ;PSV;51;12;18;1;15;12;4;33,33333333;33,33333333
2016/2017;22;PSV;Utrecht;55;14;27;1;17;15;3;20;21,42857143
2016/2017;23;PSV ;NEC;61;17;21;1;25;19;3;15,78947368;17,64705882
2016/2017;24;Feyenoord;PSV;52;6;14;0;7;5;1;20;16,66666667
2016/2017;25;PSV;Roda JC;60;12;36;3;17;14;4;28,57142857;33,33333333
2016/2017;26;Go Ahead;PSV;50;19;18;1;21;19;3;15,78947368;15,78947368
2016/2017;27;PSV;Vitesse;50;15;17;1;17;12;1;8,333333333;6,666666667
2016/2017;28;Sparta;PSV;57;9;20;1;17;14;2;14,28571429;22,22222222
2016/2017;29;Twente;PSV;55;13;29;1;17;10;2;20;15,38461538
2016/2017;30;PSV;Willem II;56;27;28;2;29;22;5;22,72727273;18,51851852
2016/2017;31;Den Haag;PSV;58;13;16;0;18;18;1;5,555555556;7,692307692
2016/2017;32;PSV;Ajax;49;10;19;1;15;12;1;8,333333333;10
2016/2017;33;Groningen;PSV;67;12;30;0;24;21;1;4,761904762;8,333333333
2016/2017;34;PSV;Zwolle;62;15;38;1;21;15;4;26,66666667;26,66666667
